datetime,symbol,open,high,low,close,volume,adx,sma10,sma20,sma50,sma100,sma200,ema10,ema20,ema50,ema100,ema200
2017-08-17 08:00:00,Binance:BTCUSDT,4261.48,4485.39,4200.74,4285.08,795.150377,,,,,,,,,,,
2017-08-18 08:00:00,Binance:BTCUSDT,4285.08,4371.52,3938.77,4108.37,1199.888264,,,,,,,,,,,
2017-08-19 08:00:00,Binance:BTCUSDT,4108.37,4184.69,3850.0,4139.98,381.309763,,,,,,,,,,,
2017-08-20 08:00:00,Binance:BTCUSDT,4120.98,4211.08,4032.62,4086.29,467.083022,,,,,,,,,,,
2017-08-21 08:00:00,Binance:BTCUSDT,4069.13,4119.62,3911.79,4016.0,691.74306,,,,,,,,,,,
2017-08-22 08:00:00,Binance:BTCUSDT,4016.0,4104.82,3400.0,4040.0,966.684858,,,,,,,,,,,
2017-08-23 08:00:00,Binance:BTCUSDT,4040.0,4265.8,4013.89,4114.01,1001.136565,,,,,,,,,,,
2017-08-24 08:00:00,Binance:BTCUSDT,4147.0,4371.68,4085.01,4316.01,787.418753,,,,,,,,,,,
2017-08-25 08:00:00,Binance:BTCUSDT,4316.01,4453.91,4247.48,4280.68,573.61274,,,,,,,,,,,
2017-08-26 08:00:00,Binance:BTCUSDT,4280.71,4367.0,4212.41,4337.44,228.108068,,4172.39,,,,,4172.39,,,,
2017-08-27 08:00:00,Binance:BTCUSDT,4332.51,4400.0,4285.54,4310.01,350.692585,,4174.88,,,,,4197.41,,,,
2017-08-28 08:00:00,Binance:BTCUSDT,4310.01,4399.82,4124.54,4386.69,603.841616,,4202.71,,,,,4231.82,,,,
2017-08-29 08:00:00,Binance:BTCUSDT,4353.65,4625.85,4313.55,4587.48,603.545028,,4247.46,,,,,4296.49,,,,
2017-08-30 08:00:00,Binance:BTCUSDT,4564.52,4647.51,4416.01,4555.14,808.468771,,4294.35,,,,,4343.52,,,,
2017-08-31 08:00:00,Binance:BTCUSDT,4555.14,4745.42,4555.14,4724.89,556.956802,,4365.23,,,,,4412.86,,,,
2017-09-01 08:00:00,Binance:BTCUSDT,4689.89,4885.55,4654.88,4834.91,560.666366,,4444.73,,,,,4489.59,,,,
2017-09-02 08:00:00,Binance:BTCUSDT,4796.16,4939.19,4286.87,4472.14,929.148595,,4480.54,,,,,4486.42,,,,
2017-09-03 08:00:00,Binance:BTCUSDT,4508.5,4714.76,4298.33,4509.08,691.216198,,4499.85,,,,,4490.54,,,,
2017-09-04 08:00:00,Binance:BTCUSDT,4505.0,4527.49,3972.51,4100.11,1394.644614,,4481.79,,,,,4419.55,,,,
2017-09-05 08:00:00,Binance:BTCUSDT,4106.97,4484.99,3603.0,4366.47,1228.938157,,4484.69,4328.54,,,,4409.9,4328.54,,,
2017-09-06 08:00:00,Binance:BTCUSDT,4366.49,4662.87,4335.26,4619.77,807.363726,,4515.67,4345.27,,,,4448.06,4356.28,,,
2017-09-07 08:00:00,Binance:BTCUSDT,4619.77,4788.59,4438.19,4691.61,500.429975,,4546.16,4374.44,,,,4492.34,4388.21,,,
2017-09-08 08:00:00,Binance:BTCUSDT,4691.66,4735.39,4028.93,4282.8,1132.255046,,4515.69,4381.58,,,,4454.24,4378.17,,,
2017-09-09 08:00:00,Binance:BTCUSDT,4282.8,4426.62,4150.06,4258.81,658.782952,,4486.06,4390.2,,,,4418.71,4366.8,,,
